cluster_idx	average mz	average RT	average charge	num spectra
1138	805.268	-1	5.49997e+08	3
1139	806.466	-1	1.83332e+08	9
1142	807.592	-1	2.06249e+08	8
1144	809.184	-1	4.12498e+08	4
1145	810.292	-1	5.49997e+08	3
1150	811.407	-1	4.12498e+08	4
1151	812.122	-1	8.24995e+08	2
1152	812.863	-1	1.83332e+08	9
1154	813.976	-1	2.74998e+08	6
1157	815.362	-1	2.06249e+08	8
1160	815.482	-1	8.24995e+08	2
1164	817.058	-1	2.74998e+08	6
1168	819.179	-1	2.06249e+08	8
1170	819.4	-1	8.24995e+08	2
1173	819.752	-1	4.12498e+08	4
1174	821.42	-1	2.06249e+08	8
1179	821.946	-1	4.12498e+08	4
1180	824.206	-1	2.35713e+08	7
1183	824.343	-1	8.24995e+08	2
1185	825.755	-1	1.64999e+08	10
1186	824.511	-1	8.24995e+08	2
1194	827.521	-1	2.35713e+08	7
1196	827.716	-1	4.12498e+08	4
1198	828.874	-1	2.06249e+08	8
1202	830.18	-1	1.64999e+08	10
1208	831.344	-1	2.35713e+08	7
1212	832.332	-1	8.24995e+08	2
1213	833.375	-1	5.49997e+08	3
1215	833.721	-1	3.29998e+08	5
1218	835.4	-1	5.49997e+08	3
1219	836.693	-1	3.29998e+08	5
1220	838.664	-1	3.29998e+08	5
1221	838.836	-1	2.89472e+07	57
1222	838.438	-1	8.24995e+08	2
1224	838.838	-1	2.74998e+08	6
1225	839.094	-1	1.83332e+08	9
1226	838.839	-1	2.35713e+08	7
1228	838.839	-1	8.24995e+08	2
1232	840.564	-1	4.12498e+08	4
1234	842.339	-1	1.26922e+08	13
1236	843.793	-1	1.83332e+08	9
1240	845.132	-1	2.35713e+08	7
1242	845.97	-1	1.09999e+08	15
1246	847.633	-1	1.83332e+08	9
1250	848.565	-1	2.06249e+08	8
1254	852.375	-1	3.29998e+08	5
1256	853.648	-1	3.29998e+08	5
1259	854.735	-1	3.29998e+08	5
1261	855.609	-1	1.64999e+08	10
1263	857.262	-1	2.06249e+08	8
1264	858.708	-1	2.35713e+08	7
1265	860.122	-1	2.74998e+08	6
1267	860.432	-1	3.29998e+08	5
1268	861.431	-1	1.64999e+08	10
1274	863.256	-1	2.74998e+08	6
1277	865.366	-1	2.06249e+08	8
1280	867.634	-1	1.64999e+08	10
1281	869.339	-1	2.74998e+08	6
1282	869.486	-1	8.24995e+08	2
1283	870.863	-1	1.17856e+08	14
1289	872.92	-1	1.26922e+08	13
1295	874.598	-1	1.64999e+08	10
1299	875.559	-1	1.37499e+08	12
1303	876.677	-1	3.29998e+08	5
1304	877.583	-1	2.74998e+08	6
1305	879.121	-1	1.83332e+08	9
1309	881.184	-1	5.49997e+08	3
1310	882.754	-1	3.29998e+08	5
1311	883.445	-1	2.35713e+08	7
1313	884.948	-1	2.35713e+08	7
1315	886.814	-1	1.26922e+08	13
1319	889.142	-1	2.35713e+08	7
1322	889.566	-1	8.24995e+08	2
1323	891.532	-1	2.35713e+08	7
1325	893.254	-1	2.06249e+08	8
1327	893.936	-1	2.74998e+08	6
1329	895.801	-1	3.29998e+08	5
1331	897.331	-1	1.64999e+08	10
1335	898.68	-1	2.06249e+08	8
1339	899.982	-1	2.35713e+08	7
1341	901.632	-1	8.68416e+07	19
1343	903.717	-1	1.64999e+08	10
1347	903.738	-1	8.24995e+08	2
1348	905.264	-1	5.49997e+08	3
1351	906.9	-1	4.34208e+07	38
1353	906.831	-1	5.49997e+08	3
1355	906.851	-1	4.12498e+08	4
1356	906.834	-1	8.24995e+08	2
1360	909.006	-1	2.74998e+08	6
1363	911.48	-1	2.74998e+08	6
1365	912.73	-1	2.35713e+08	7
1368	914.576	-1	8.24995e+08	2
1369	915.812	-1	2.06249e+08	8
1371	917.271	-1	2.74998e+08	6
1373	918.256	-1	5.49997e+08	3
1374	919.368	-1	8.24995e+08	2
1376	920.844	-1	5.49997e+08	3
